"Weight set: ","[0.0, 0.0, 1.0, 0.0]"
"kegg","intpathway","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"rna_polymerase_i,_eukaryotes","purine_metabolism","8","0.184","0.404","0.020","0.020"
"rna_polymerase_ii,_eukaryotes","purine_metabolism","8","0.184","0.358","0.015","0.015"
"rna_polymerase_iii,_eukaryotes","purine_metabolism","8","0.184","0.446","0.026","0.026"
"scf-cdc4_complex","purine_metabolism","3","0.053","0.137","0.001","0.001"
"scf-grr1_complex","purine_metabolism","4","0.079","0.137","0.001","0.001"
"scf-met30_complex","purine_metabolism","5","0.105","0.137","0.001","0.001"
"sec61_complex","purine_metabolism","4","0.079","0.168","0.002","0.002"
"serine_biosynthesis,_glycerate-3p_=>_serine","purine_metabolism","9","0.211","0.137","0.001","0.001"
"shikimate_pathway,_phosphoenolpyruvate_+_erythrose-4p_=>_chorismate","purine_metabolism","10","0.237","0.137","0.001","0.001"
"ski_complex","purine_metabolism","4","0.079","0.105","0.001","0.001"
"sln1-ypd1-ssk1/skn7_(osmosensing)_two-component_regulatory_system","purine_metabolism","11","0.263","0.137","0.001","0.001"
"sm_core_complex","purine_metabolism","5","0.105","0.228","0.005","0.005"
"sphingosine_degradation","purine_metabolism","8","0.184","0.105","0.001","0.001"
"spliceosome,_u1-snrnp","purine_metabolism","6","0.132","0.283","0.008","0.008"
"succinate_dehydrogenase_(ubiquinone)","purine_metabolism","9","0.211","0.228","0.005","0.005"
"tetrahydrofolate_biosynthesis,_gtp_=>_thf","purine_metabolism","7","0.158","0.228","0.005","0.005"
"threonine_biosynthesis,_aspartate_=>_homoserine_=>_threonine","purine_metabolism","10","0.237","0.168","0.002","0.002"
"tramp_complex","purine_metabolism","4","0.079","0.168","0.002","0.002"
"tryptophan_biosynthesis,_chorismate_=>_tryptophan","purine_metabolism","9","0.211","0.168","0.002","0.002"
"ubiquinone_biosynthesis,_eukaryotes,_4-hydroxybenzoate_=>_ubiquinone","purine_metabolism","10","0.237","0.168","0.002","0.002"
"uridine_monophosphate_biosynthesis,_glutamine_(+_prpp)_=>_ump","purine_metabolism","13","0.316","0.256","0.006","0.006"
"valine/isoleucine_biosynthesis,_pyruvate_=>_valine_/_2-oxobutanoate_=>_isoleucine","purine_metabolism","12","0.289","0.199","0.003","0.003"
